ref_id,asset,stock_name,strike_price,option_type,expiry,exchange,lot_size,tick_size
1069728,ADANIENT,ADANIENT26FEB2760PE,276000,PE,20260224,NSE,309,5
1136118,ADANIENT,ADANIENT26FEB2780CE,278000,CE,20260224,NSE,309,5
1136119,ADANIENT,ADANIENT26FEB2780PE,278000,PE,20260224,NSE,309,5
1069729,ADANIENT,ADANIENT26FEB2800CE,280000,CE,20260224,NSE,309,5
1069730,ADANIENT,ADANIENT26FEB2800PE,280000,PE,20260224,NSE,309,5
1136120,ADANIENT,ADANIENT26FEB2820CE,282000,CE,20260224,NSE,309,5
1136121,ADANIENT,ADANIENT26FEB2820PE,282000,PE,20260224,NSE,309,5
1069731,ADANIENT,ADANIENT26FEB2840CE,284000,CE,20260224,NSE,309,5
1069732,ADANIENT,ADANIENT26FEB2840PE,284000,PE,20260224,NSE,309,5
1136122,ADANIENT,ADANIENT26FEB2860CE,286000,CE,20260224,NSE,309,5
1136123,ADANIENT,ADANIENT26FEB2860PE,286000,PE,20260224,NSE,309,5
1069733,ADANIENT,ADANIENT26FEB2880CE,288000,CE,20260224,NSE,309,5
1069734,ADANIENT,ADANIENT26FEB2880PE,288000,PE,20260224,NSE,309,5
1069735,ADANIENT,ADANIENT26FEB2920CE,292000,CE,20260224,NSE,309,5
1069736,ADANIENT,ADANIENT26FEB2920PE,292000,PE,20260224,NSE,309,5
1069737,ADANIENT,ADANIENT26FEB2960CE,296000,CE,20260224,NSE,309,5
1069738,ADANIENT,ADANIENT26FEB2960PE,296000,PE,20260224,NSE,309,5
1069739,ADANIENT,ADANIENT26FEB3000CE,300000,CE,20260224,NSE,309,5
1069740,ADANIENT,ADANIENT26FEB3000PE,300000,PE,20260224,NSE,309,5
1069741,ADANIENT,ADANIENT26FEB3040CE,304000,CE,20260224,NSE,309,5
1069742,ADANIENT,ADANIENT26FEB3040PE,304000,PE,20260224,NSE,309,5
1136124,ADANIENT,ADANIENT26FEB3080CE,308000,CE,20260224,NSE,309,5
1136125,ADANIENT,ADANIENT26FEB3080PE,308000,PE,20260224,NSE,309,5
1069743,ADANIENT,ADANIENT26FEB3120CE,312000,CE,20260224,NSE,309,5
1069744,ADANIENT,ADANIENT26FEB3120PE,312000,PE,20260224,NSE,309,5
1136126,ADANIENT,ADANIENT26FEB3160CE,316000,CE,20260224,NSE,309,5
1136127,ADANIENT,ADANIENT26FEB3160PE,316000,PE,20260224,NSE,309,5
1069745,ADANIENT,ADANIENT26FEB3200CE,320000,CE,20260224,NSE,309,5
1069746,ADANIENT,ADANIENT26FEB3200PE,320000,PE,20260224,NSE,309,5
1136128,ADANIENT,ADANIENT26FEB3240CE,324000,CE,20260224,NSE,309,5
1136129,ADANIENT,ADANIENT26FEB3240PE,324000,PE,20260224,NSE,309,5
1069747,ADANIENT,ADANIENT26FEB3280CE,328000,CE,20260224,NSE,309,5
1069748,ADANIENT,ADANIENT26FEB3280PE,328000,PE,20260224,NSE,309,5
